26506,,,,,,,,,,,,,,,,,,
,,0-25,26-50,51-75,76-100,101-125,126-150,151-175,176-200,201-225,226-250,251-275,276-300,301-325,326-350,351-360,,
127.40625,163.25,692,642,1041,1113,2108,2032,2052,2009,2235,2996,2794,1257,1123,3148,286,,26503
128.921875,161.25,,,,,,,,,,,,,,,,,
130.40625,159.25,,,,,,,,,,,,,,,,,
131.890625,157.25,,,,,,,,,,,,,,,,,
133.34375,156.25,,,,,,,,,,,,,,,,,
134.828125,154.25,,,,,,,,,,,,,,,,,
136.265625,153.25,,,,,,,,,,,,,,,,,
137.78125,151.25,,,,,,,,,,,,,,,,,
139.234375,150.25,,,,,,,,,,,,,,,,,
140.6875,149.25,,,,,,,,,,,,,,,,,
142.140625,148.25,,,,,,,,,,,,,,,,,
143.59375,147.25,,,,,,,,,,,,,,,,,
145,147.25,,,,,,,,,,,,,,,,,
146.4375,146.25,,,,,,,,,,,,,,,,,
147.828125,146.25,,,,,,,,,,,,,,,,,
149.296875,145.25,,,,,,,,,,,,,,,,,
150.6875,145.25,,,,,,,,,,,,,,,,,
152.078125,145.25,,,,,,,,,,,,,,,,,
153.484375,145.25,,,,,,,,,,,,,,,,,
154.9375,144.25,,,,,,,,,,,,,,,,,
156.34375,144.25,,,,,,,,,,,,,,,,,
157.75,144.25,,,,,,,,,,,,,,,,,
159.140625,144.25,,,,,,,,,,,,,,,,,
160.53125,144.25,,,,,,,,,,,,,,,,,
161.859375,145.25,,,,,,,,,,,,,,,,,
163.1875,146.25,,,,,,,,,,,,,,,,,
164.546875,147.25,,,,,,,,,,,,,,,,,
165.875,148.25,,,,,,,,,,,,,,,,,
167.265625,148.25,,,,,,,,,,,,,,,,,
168.546875,150.25,,,,,,,,,,,,,,,,,
169.890625,151.25,,,,,,,,,,,,,,,,,
171.28125,151.25,,,,,,,,,,,,,,,,,
172.5625,153.25,,,,,,,,,,,,,,,,,
173.90625,154.25,,,,,,,,,,,,,,,,,
175.265625,155.25,,,,,,,,,,,,,,,,,
176.5625,157.25,,,,,,,,,,,,,,,,,
177.90625,158.25,,,,,,,,,,,,,,,,,
179.203125,160.25,,,,,,,,,,,,,,,,,
