#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
110.5000000000,179.2500000000
111.7500000000,182.2500000000
112.9687500000,186.2500000000
114.2031250000,190.2500000000
115.8125000000,183.5000000000
116.7812500000,195.5000000000
117.7343750000,208.5000000000
119.5468750000,194.5000000000
121.0000000000,192.2500000000
122.4531250000,189.2500000000
123.9687500000,185.2500000000
125.4531250000,182.2500000000
126.9062500000,180.2500000000
128.3906250000,177.2500000000
129.8437500000,175.2500000000
131.3437500000,172.2500000000
132.7500000000,171.2500000000
134.2031250000,169.2500000000
135.6718750000,167.2500000000
137.1406250000,165.2500000000
138.5312500000,164.2500000000
140.0000000000,162.2500000000
141.4375000000,161.2500000000
142.8437500000,160.2500000000
144.2656250000,159.2500000000
145.6875000000,158.2500000000
147.1093750000,157.2500000000
148.5156250000,156.2500000000
149.8906250000,156.2500000000
151.3125000000,155.2500000000
152.6875000000,155.2500000000
349.4843750000,151.2500000000
348.5156250000,150.2500000000
154.7656250000,154.2500000000
156.1406250000,154.2500000000
157.5156250000,154.2500000000
158.9375000000,153.2500000000
160.3125000000,153.2500000000
161.6562500000,154.0000000000
163.5625000000,144.5000000000
165.9375000000,129.5000000000
167.4062500000,128.2500000000
168.9375000000,126.2500000000
170.4687500000,124.2500000000
172.0312500000,122.0000000000
173.4687500000,121.2500000000
174.9218750000,120.2500000000
176.3906250000,119.2500000000
177.8593750000,118.2500000000
179.3125000000,117.2500000000
180.6875000000,117.2500000000
182.3437500000,114.2500000000
183.7187500000,114.2500000000
185.0937500000,114.2500000000
186.5625000000,113.2500000000
187.9375000000,113.2500000000
189.4218750000,112.2500000000
190.7968750000,112.2500000000
192.1718750000,112.2500000000
193.5468750000,112.2500000000
194.9218750000,112.2500000000
196.3906250000,111.2500000000
197.6718750000,112.2500000000
199.0468750000,112.2500000000
200.4218750000,112.2500000000
201.7968750000,112.2500000000
203.1718750000,112.2500000000
204.5468750000,112.2500000000
205.8125000000,113.2500000000
207.0937500000,114.2500000000
208.3750000000,115.2500000000
209.7500000000,115.2500000000
211.1406250000,115.2500000000
348.3906250000,150.2500000000
320.7031250000,152.2500000000
322.1250000000,151.2500000000
323.5000000000,151.2500000000
324.9375000000,150.2500000000
326.3593750000,149.2500000000
327.7968750000,148.2500000000
329.1718750000,148.2500000000
330.6250000000,147.2500000000
332.0000000000,147.2500000000
333.3750000000,147.2500000000
334.7500000000,147.2500000000
336.0625000000,148.2500000000
337.4375000000,148.2500000000
338.8281250000,148.2500000000
340.2031250000,148.2500000000
341.5781250000,148.2500000000
342.9531250000,148.2500000000
344.3281250000,148.2500000000
345.6406250000,149.2500000000
347.0312500000,149.2500000000
349.0312500000,150.2500000000
212.7500000000,117.2500000000
213.9531250000,119.2500000000
215.0781250000,122.2500000000
214.2968750000,0.0000000000
216.0312500000,148.5000000000
217.5937500000,145.2500000000
219.0468750000,144.2500000000
220.5468750000,142.2500000000
222.0468750000,140.2500000000
223.5625000000,138.2500000000
