#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
320.34,5416.00
128.66,6800.00
411.59,5479.75
399.36,7429.50
0.66,13898.00
467.27,3415.50
4.47,144.25
5.19,8041.25
5.06,164.25
5.84,175.50
460.02,13312.50
5.50,10283.25
395.44,10280.00
0.66,11722.00
106.69,3904.50
4.50,10898.25
2.00,10265.25
4.19,133.25
0.66,10307.75
214.38,149.25
0.66,14922.00
3.97,16192.00
4.63,836.25
10.06,10241.25
5.31,10048.50
0.66,5706.00
202.81,152.25
5.75,14656.50
5.63,11328.50
5.47,183.50
5.34,8806.25
5.00,128.50
134.39,3091.50
5.03,10280.00
0.66,3274.00
5.03,163.25
130.47,5416.00
0.66,15947.00
3.97,127.50
4.00,321.25
2.03,321.25
4.03,128.50
4.13,2119.25
5.00,158.25
100.38,5710.00
5.03,164.25
4.02,180.25
0.66,15562.00
2.66,10256.00
4.94,7003.25
4.16,576.50
2.00,16192.25
65.78,7080.00
0.66,11594.00
484.02,128.50
5.41,169.25
218.94,5482.50
267.95,9399.50
4.22,3147.25
2.78,7002.25
2.66,5440.25
4.03,5482.50
347.14,95.75
506.00,4096.25
26.00,832.50
320.16,10257.75
4.63,148.25
100.00,5706.00
320.00,10269.50
0.66,11466.00
268.20,6888.00
234.00,5978.25
0.66,11338.00
0.66,6026.00
356.25,10262.00
5.56,173.25
484.02,10280.00
79.69,206.50
476.02,15744.50
5.19,162.25
5.53,7592.00
5.13,7016.00
340.88,21.25
156.77,416.25
4.91,128.50
4.84,152.25
0.66,2506.00
4.16,2376.25
0.66,1088.25
26.13,320.50
10.03,321.25
18.00,1091.25
0.66,331.00
396.83,384.50
0.66,4298.00
5.44,5482.50
187.05,15720.75
2.41,143.25
218.00,15936.50
5.00,5482.50
185.08,6210.25
144.78,131.25
449.97,5482.50
42.00,131.25
4.03,321.25
4.03,5482.50
507.97,64.25
506.00,16192.25
162.00,5461.25
4.00,321.25
10.03,321.25
218.00,152.25
340.66,10261.25
320.66,7208.00
0.66,5066.00
0.66,6474.00
5.16,168.25
156.02,10241.00
5.59,128.50
0.66,14922.00
387.27,3415.50
4.47,145.25
5.38,175.25
5.75,2078.75
460.02,13376.50
0.66,10280.00
0.66,15178.00
2.66,10816.25
349.31,5565.50
0.66,10240.50
4.97,158.25
320.00,4136.00
3.97,127.25
506.00,8128.25
320.59,10261.00
210.84,128.50
431.34,5205.50
0.66,7370.00
320.81,10280.00
0.66,4810.00
0.66,6471.00
347.22,8030.50
202.00,6208.50
278.17,10252.50
4.94,94.25
4.00,5482.50
0.66,4682.00
4.38,10880.50
286.17,165.25
4.91,6976.50
5.81,5482.50
370.61,1434.50
0.66,5898.00
49.61,11461.75
5.34,10095.25
5.28,11840.50
5.81,5482.50
298.39,11347.50
427.59,128.50
0.66,15050.00
320.81,10258.50
0.66,1738.00
0.66,5706.00
0.66,10251.00
66.22,5482.50
2.66,9664.25
349.17,5565.50
4.13,5928.00
128.66,320.50
320.06,5800.00
80.66,5058.25
2.78,4648.00
162.66,4947.25
0.66,5834.00
26.00,576.50
5.16,163.25
4.34,134.25
320.06,5672.00
320.66,14354.25
0.66,14794.00
189.13,5184.50
2.56,144.25
5.34,13120.50
4.02,167.25
178.63,128.50
5.09,166.25
5.25,11584.50
5.78,188.25
5.59,5482.50
258.00,8512.50
321.05,10261.25
2.66,65.25
4.03,128.50
218.88,155.25
0.66,12746.00
20.02,191.25
0.66,12491.00
4.66,8768.50
492.66,10901.50
4.72,10262.00
4.81,128.50
0.66,2378.00
106.00,3904.50
4.53,210.25
202.00,6976.50
4.91,160.25
4.63,5184.50
340.69,21.25
348.78,11225.25
0.66,1867.00
0.66,1098.00
348.38,150.00
2.69,144.25
0.66,586.00
339.22,191.25
133.81,10304.50
5.72,12416.50
0.66,12746.00
4.63,10880.50
2.00,10280.00
128.98,64.50
4.03,130.25
2.66,9792.25
411.19,5479.75
2.72,152.25
0.66,1610.00
5.19,6184.00
320.66,10263.75
5.09,160.25
4.44,128.50
202.75,128.25
258.97,8768.50
5.19,168.25
5.45,157.25
5.09,9792.50
5.28,10280.00
0.66,14794.00
218.34,6087.00
0.66,14666.00
268.47,9379.50
4.44,140.25
0.66,14410.00
100.13,5710.75
4.00,179.25
341.81,21.25
320.02,5352.00
4.41,139.25
